Problem:    floorplan1
Rows:       289
Columns:    153 (153 integer, 136 binary)
Non-zeros:  1049
Status:     INTEGER NON-OPTIMAL
Objective:  obj = 20 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 obj                        20                             
   113 check4[4,8]               -43           -43               
   114 check4[5,1]                 0           -66               
   115 check4[5,2]                 0           -66               
   116 check4[5,3]               -20           -66               
   117 check4[5,4]               -37           -66               
   118 check4[5,5]                 0           -66               
   119 check4[5,6]               -37           -41               
   120 check4[5,7]               -48           -48               
   121 check4[5,8]               -14           -43               
   122 check4[6,1]                 0           -66               
   123 check4[6,2]                 0           -66               
   124 check4[6,3]               -20           -66               
   125 check4[6,4]               -37           -66               
   126 check4[6,5]                 0           -66               
   127 check4[6,6]               -37           -66               
   128 check4[6,7]               -11           -48               
   129 check4[6,8]               -43           -43               
   130 check4[7,1]                 0           -66               
   131 check4[7,2]                 0           -66               
   132 check4[7,3]               -20           -66               
   133 check4[7,4]               -37           -66               
   134 check4[7,5]                 0           -66               
   135 check4[7,6]               -37           -66               
   136 check4[7,7]               -48           -66               
   137 check4[7,8]               -32           -43               
   138 check4[8,1]                 0           -66               
   139 check4[8,2]                 0           -66               
   140 check4[8,3]               -20           -66               
   141 check4[8,4]               -37           -66               
   142 check4[8,5]                 0           -66               
   143 check4[8,6]               -37           -66               
   144 check4[8,7]               -48           -66               
   145 check4[8,8]               -14           -66               
   146 check5[1,1]                 0                          66 
   147 check5[1,2]                58                          62 
   148 check5[1,3]                 0                          62 
   149 check5[1,4]                 0                          62 
   150 check5[1,5]                62                          62 
   151 check5[1,6]               -10                          62 
   152 check5[1,7]                60                          62 
   153 check5[1,8]                52                          62 
   154 check5[2,1]                 0                          66 
   155 check5[2,2]                58                          66 
   156 check5[2,3]                 8                          60 
   157 check5[2,4]               -58                          60 
   158 check5[2,5]                 4                          60 
   159 check5[2,6]               -68                          60 
   160 check5[2,7]               -64                          60 
   161 check5[2,8]                60                          60 
   162 check5[3,1]                 0                          66 
   163 check5[3,2]                -8                          66 
   164 check5[3,3]                 0                          66 
   165 check5[3,4]                 0                          62 
   166 check5[3,5]               -70                          62 
   167 check5[3,6]               -10                          62 
   168 check5[3,7]                60                          62 
   169 check5[3,8]                52                          62 
   170 check5[4,1]                 0                          66 
   171 check5[4,2]                58                          66 
   172 check5[4,3]                 0                          66 
   173 check5[4,4]                 0                          66 
   174 check5[4,5]               -70                          60 
   175 check5[4,6]                56                          60 
   176 check5[4,7]                60                          60 
   177 check5[4,8]               -14                          60 
   178 check5[5,1]                 0                          66 
   179 check5[5,2]                58                          66 
   180 check5[5,3]                 0                          66 
   181 check5[5,4]                 0                          66 
   182 check5[5,5]                -4                          66 
   183 check5[5,6]                -6                          62 
   184 check5[5,7]                -2                          62 
   185 check5[5,8]                56                          62 
   186 check5[6,1]                 0                          66 
   187 check5[6,2]                58                          66 
   188 check5[6,3]                 0                          66 
   189 check5[6,4]                 0                          66 
   190 check5[6,5]                -4                          66 
   191 check5[6,6]               -10                          66 
   192 check5[6,7]                 4                          60 
   193 check5[6,8]                -4                          60 
   194 check5[7,1]                 0                          66 
   195 check5[7,2]                58                          66 
   196 check5[7,3]                 0                          66 
   197 check5[7,4]                 0                          66 
   198 check5[7,5]                -4                          66 
   199 check5[7,6]               -10                          66 
   200 check5[7,7]                -6                          66 
   201 check5[7,8]                -8                          62 
   202 check5[8,1]                 0                          66 
   203 check5[8,2]                58                          66 
   204 check5[8,3]                 0                          66 
   205 check5[8,4]                 0                          66 
   206 check5[8,5]                -4                          66 
   207 check5[8,6]               -10                          66 
   208 check5[8,7]                -6                          66 
   209 check5[8,8]                52                          66 
   210 check6[1,1]                 0          -132               
   211 check6[1,2]               -74          -126               
   212 check6[1,3]                 0          -128               
   213 check6[1,4]                 0          -126               
   214 check6[1,5]               -70          -128               
   215 check6[1,6]               -10          -126               
   216 check6[1,7]               -72          -128               
   217 check6[1,8]               -80          -126               
   218 check6[2,1]                 0          -132               
   219 check6[2,2]               -74          -132               
   220 check6[2,3]              -124          -128               
   221 check6[2,4]               -58          -126               
   222 check6[2,5]              -128          -128               
   223 check6[2,6]               -68          -126               
   224 check6[2,7]               -64          -128               
   225 check6[2,8]               -72          -126               
   226 check6[3,1]                 0          -132               
   227 check6[3,2]                -8          -132               
   228 check6[3,3]                 0          -132               
   229 check6[3,4]                 0          -126               
   230 check6[3,5]               -70          -128               
   231 check6[3,6]               -10          -126               
   232 check6[3,7]               -72          -128               
   233 check6[3,8]               -80          -126               
   234 check6[4,1]                 0          -132               
   235 check6[4,2]               -74          -132               
   236 check6[4,3]                 0          -132               
   237 check6[4,4]                 0          -132               
   238 check6[4,5]               -70          -128               
   239 check6[4,6]               -76          -126               
   240 check6[4,7]               -72          -128               
   241 check6[4,8]               -14          -126               
   242 check6[5,1]                 0          -132               
   243 check6[5,2]               -74          -132               
   244 check6[5,3]                 0          -132               
   245 check6[5,4]                 0          -132               
   246 check6[5,5]                -4          -132               
   247 check6[5,6]                -6          -126               
   248 check6[5,7]                -2          -128               
   249 check6[5,8]               -76          -126               
   250 check6[6,1]                 0          -132               
   251 check6[6,2]               -74          -132               
   252 check6[6,3]                 0          -132               
   253 check6[6,4]                 0          -132               
   254 check6[6,5]                -4          -132               
   255 check6[6,6]               -10          -132               
   256 check6[6,7]              -128          -128               
   257 check6[6,8]                -4          -126               
   258 check6[7,1]                 0          -132               
   259 check6[7,2]               -74          -132               
   260 check6[7,3]                 0          -132               
   261 check6[7,4]                 0          -132               
   262 check6[7,5]                -4          -132               
   263 check6[7,6]               -10          -132               
   264 check6[7,7]                -6          -132               
   265 check6[7,8]                -8          -126               
   266 check6[8,1]                 0          -132               
   267 check6[8,2]               -74          -132               
   268 check6[8,3]                 0          -132               
   269 check6[8,4]                 0          -132               
   270 check6[8,5]                -4          -132               
   271 check6[8,6]               -10          -132               
   272 check6[8,7]                -6          -132               
   273 check6[8,8]               -80          -132               
   274 check7[1]                   0            -0               
   275 check7[2]                  66            -0               
   276 check7[3]                  20            -0               
   277 check7[4]                  37            -0               
   278 check7[5]                   0            -0               
   279 check7[6]                  37            -0               
   280 check7[7]                  48            -0               
   281 check7[8]                  80            -0               
   282 check8[1]                   0            -0               
   283 check8[2]                   8            -0               
   284 check8[3]                   0            -0               
   285 check8[4]                   0            -0               
   286 check8[5]                   4            -0               
   287 check8[6]                  10            -0               
   288 check8[7]                   6            -0               
   289 check8[8]                  14            -0               

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 x[1]         *              0             0               
     2 x[2]         *             66             0               
     3 x[3]         *             20             0               
     4 x[4]         *             37             0               
     5 x[5]         *              0             0               
     6 x[6]         *             37             0               
     7 x[7]         *             48             0               
     8 x[8]         *             80             0               
     9 y[1]         *              0             0               
    10 y[2]         *              8             0               
    11 y[3]         *              0             0               
    12 y[4]         *              0             0               
    13 y[5]         *              4             0               
    14 y[6]         *             10             0               
    15 y[7]         *              6             0               
    16 y[8]         *             14             0               
    17 z[1]         *              0             0             1 
    18 z[2]         *              0             0             1 
    19 z[3]         *              0             0             1 
    20 z[4]         *              0             0             1 
    21 z[5]         *              0             0             1 
    22 z[6]         *              0             0             1 
    23 z[7]         *              0             0             1 
    24 z[8]         *              0             0             1 
    25 p[1,1]       *              0             0             1 
    26 p[1,2]       *              0             0             1 
    27 p[1,3]       *              0             0             1 
    28 p[1,4]       *              0             0             1 
    29 p[1,5]       *              0             0             1 
    30 p[1,6]       *              0             0             1 
    31 p[1,7]       *              0             0             1 
    32 p[1,8]       *              0             0             1 
    33 p[2,1]       *              0             0             1 
    34 p[2,2]       *              0             0             1 
    35 p[2,3]       *              1             0             1 
    36 p[2,4]       *              1             0             1 
    37 p[2,5]       *              1             0             1 
    38 p[2,6]       *              1             0             1 
    39 p[2,7]       *              1             0             1 
    40 p[2,8]       *              0             0             1 
    41 p[3,1]       *              0             0             1 
    42 p[3,2]       *              0             0             1 
    43 p[3,3]       *              0             0             1 
    44 p[3,4]       *              0             0             1 
    45 p[3,5]       *              1             0             1 
    46 p[3,6]       *              0             0             1 
    47 p[3,7]       *              0             0             1 
    48 p[3,8]       *              0             0             1 
    49 p[4,1]       *              0             0             1 
    50 p[4,2]       *              0             0             1 
    51 p[4,3]       *              0             0             1 
    52 p[4,4]       *              0             0             1 
    53 p[4,5]       *              1             0             1 
    54 p[4,6]       *              0             0             1 
    55 p[4,7]       *              0             0             1 
    56 p[4,8]       *              0             0             1 
    57 p[5,1]       *              0             0             1 
    58 p[5,2]       *              0             0             1 
    59 p[5,3]       *              0             0             1 
    60 p[5,4]       *              0             0             1 
    61 p[5,5]       *              0             0             1 
    62 p[5,6]       *              0             0             1 
    63 p[5,7]       *              0             0             1 
    64 p[5,8]       *              0             0             1 
    65 p[6,1]       *              0             0             1 
    66 p[6,2]       *              0             0             1 
    67 p[6,3]       *              0             0             1 
    68 p[6,4]       *              0             0             1 
    69 p[6,5]       *              0             0             1 
    70 p[6,6]       *              0             0             1 
    71 p[6,7]       *              1             0             1 
    72 p[6,8]       *              0             0             1 
    73 p[7,1]       *              0             0             1 
    74 p[7,2]       *              0             0             1 
    75 p[7,3]       *              0             0             1 
    76 p[7,4]       *              0             0             1 
    77 p[7,5]       *              0             0             1 
    78 p[7,6]       *              0             0             1 
    79 p[7,7]       *              0             0             1 
    80 p[7,8]       *              0             0             1 
    81 p[8,1]       *              0             0             1 
    82 p[8,2]       *              0             0             1 
    83 p[8,3]       *              0             0             1 
    84 p[8,4]       *              0             0             1 
    85 p[8,5]       *              0             0             1 
    86 p[8,6]       *              0             0             1 
    87 p[8,7]       *              0             0             1 
    88 p[8,8]       *              0             0             1 
    89 q[1,1]       *              0             0             1 
    90 q[1,2]       *              1             0             1 
    91 q[1,3]       *              0             0             1 
    92 q[1,4]       *              0             0             1 
    93 q[1,5]       *              1             0             1 
    94 q[1,6]       *              0             0             1 
    95 q[1,7]       *              1             0             1 
    96 q[1,8]       *              1             0             1 
    97 q[2,1]       *              0             0             1 
    98 q[2,2]       *              1             0             1 
    99 q[2,3]       *              1             0             1 
   100 q[2,4]       *              0             0             1 
   101 q[2,5]       *              1             0             1 
   102 q[2,6]       *              0             0             1 
   103 q[2,7]       *              0             0             1 
   104 q[2,8]       *              1             0             1 
   105 q[3,1]       *              0             0             1 
   106 q[3,2]       *              0             0             1 
   107 q[3,3]       *              0             0             1 
   108 q[3,4]       *              0             0             1 
   109 q[3,5]       *              0             0             1 
   110 q[3,6]       *              0             0             1 
   111 q[3,7]       *              1             0             1 
   112 q[3,8]       *              1             0             1 
   113 q[4,1]       *              0             0             1 
   114 q[4,2]       *              1             0             1 
   115 q[4,3]       *              0             0             1 
   116 q[4,4]       *              0             0             1 
   117 q[4,5]       *              0             0             1 
   118 q[4,6]       *              1             0             1 
   119 q[4,7]       *              1             0             1 
   120 q[4,8]       *              0             0             1 
   121 q[5,1]       *              0             0             1 
   122 q[5,2]       *              1             0             1 
   123 q[5,3]       *              0             0             1 
   124 q[5,4]       *              0             0             1 
   125 q[5,5]       *              0             0             1 
   126 q[5,6]       *              0             0             1 
   127 q[5,7]       *              0             0             1 
   128 q[5,8]       *              1             0             1 
   129 q[6,1]       *              0             0             1 
   130 q[6,2]       *              1             0             1 
   131 q[6,3]       *              0             0             1 
   132 q[6,4]       *              0             0             1 
   133 q[6,5]       *              0             0             1 
   134 q[6,6]       *              0             0             1 
   135 q[6,7]       *              1             0             1 
   136 q[6,8]       *              0             0             1 
   137 q[7,1]       *              0             0             1 
   138 q[7,2]       *              1             0             1 
   139 q[7,3]       *              0             0             1 
   140 q[7,4]       *              0             0             1 
   141 q[7,5]       *              0             0             1 
   142 q[7,6]       *              0             0             1 
   143 q[7,7]       *              0             0             1 
   144 q[7,8]       *              0             0             1 
   145 q[8,1]       *              0             0             1 
   146 q[8,2]       *              1             0             1 
   147 q[8,3]       *              0             0             1 
   148 q[8,4]       *              0             0             1 
   149 q[8,5]       *              0             0             1 
   150 q[8,6]       *              0             0             1 
   151 q[8,7]       *              0             0             1 
   152 q[8,8]       *              1             0             1 
   153 ymin         *             20             0               

Integer feasibility conditions:

KKT.PE: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

KKT.PB: max.abs.err = 0.00e+00 on row 0
        max.rel.err = 0.00e+00 on row 0
        High quality

End of output
